windows vista home premi x bitcoin qt beta crashes intermittently p pool active ally extended period r time fairly freq ently crashes exact time p pool activated know problems related monitoring irc p pool channel seems problem may fairly common;0
qt interface show qr code addresses b dismiss qr code pop p window needs close b tton alongside save expect co ld hit escape keyboard get rid b escape key broken anyway good keyboard dismiss window created sing st mo;0
https bitcointalk org index php topic msg msg unchecking upnp ports doesnt seem save selection;0
https bitcointalk org index php topic msg msg sing proxy option b new gui showing strange ipv looking address proxy field g b f change good;0
bitcoin rc lin x bitcoin qt bitcoin qt gtk warning unable locate theme engine path pixmap bitcoin qt gtk warning unable locate theme engine path pixmap bitcoin qt gtk warning unable locate theme engine path pixmap bitcoin qt gtk warning unable locate theme engine path pixmap exception dbr nrecoveryexception dbenv open db runrecovery fatal error r database recovery bitcoin r naway exception terminate called throwing instance dbr nrecoveryexception dbenv open db runrecovery fatal error r database recovery aborted;0
odd reason enable start bitcoin windows start p placing tick mark options clicking apply tick mark vanishes show witho tick mark thing happens click ok loads tomatically start p starting p sing windows start p folder disabled installed bitcoin beta enable may st gui problem win bit;0
r nning f zzing tests noticed b g new getmininginfo information gavin bitcoind datadir testnet box getmininginfo blocks rrentblocksize rrentblocktx diffic lty errors generate tr genproclimit hashespersec pooledtx testnet tr think hashespersec sho ld greater zero;0
xmonad gnome window manager set p start bitcoin qt window start flicker appears disappears high freq ency hz rrent selected workspace never experienced behavior old client;0
transaction shows date time client received block contains transaction timestamp transaction made block reprod ced sending bitcoins client offlne later client synchronizes blockchain network transaction appears client date time block received time date transaction reception miner block creation expected inconvenient conf sing searched open closed iss b co ld find one version affected qt;0
starts little appears splash screen brief moment tp console log x x rcompany bitcoin qt process forked cannot corefo ndation f nctionality safely must exec x x rcompany bitcoin qt break process forked cannot use corefoundation functionality must exec deb g x x rcompany bitcoin qt process forked cannot corefo ndation f nctionality safely must exec x x rcompany bitcoin qt break process forked cannot use corefoundation functionality must exec deb g x x rcompany bitcoin qt process forked cannot corefo ndation f nctionality safely must exec x x rcompany bitcoin qt break process forked cannot use corefoundation functionality must exec deb g apple nchd ser x x rcompany bitcoin qt job appears crashed b error reportcrash saved crash report bitcoin qt version users looris library logs diagnosticreports bitcoin qt palace nine moons crash reportcrash saved crash report bitcoin qt version users looris library logs diagnosticreports bitcoin qt palace nine moons crash feel free ask details;0
transactions max sigops sigops sho ld added memory pool beca obvio sly never make block probably good idea disconnect clients send ch transactions thanks makomk finding testnet ld iss main net relaying mining standard transactions r nning pdated git head eval backport defines checkmultisig standard transaction type;0
https gith b bitcoin bitcoin blob master src qt locale bitcoin ts fo nd typo see http wikipedia org wiki kilobyte note https gist gith b patch regards carlo;0
getting warning vidalia r nning bitcoin thro gh tor r application sing socks port giving tor ip address applications dns resolves may leak information consider sing socks g via privoxy socat instead information please see http wiki noreply org noreply theonionro ter torfaq socksanddns brief chat tor irc oftc net modify r socks code connect hostname ip address hostname witho tro sing socks socks st ff st work know thin abo socks b hoping somebody else fix;0
